,blu ,cla ,cou ,dis ,hip ,jazz ,met ,pop ,reg ,rock
blu,7.5 ,0.0 ,1.2 ,0.3 ,0.3 ,0.1 ,0.2 ,0.0 ,0.2 ,0.2
cla,0.0 ,8.9 ,0.0 ,0.0 ,0.0 ,0.7 ,0.0 ,0.0 ,0.0 ,0.4
cou,0.5 ,0.2 ,6.6 ,0.5 ,0.0 ,0.2 ,0.6 ,0.3 ,0.1 ,1.0
dis,0.2 ,0.0 ,0.4 ,7.2 ,0.7 ,0.0 ,0.4 ,0.2 ,0.4 ,0.5
hip,0.2 ,0.0 ,0.0 ,0.4 ,7.0 ,0.0 ,0.3 ,1.0 ,1.1 ,0.0
jazz,0.5 ,0.7 ,0.1 ,0.4 ,0.0 ,7.5 ,0.5 ,0.1 ,0.0 ,0.2
met,0.0 ,0.1 ,0.0 ,0.6 ,0.2 ,0.0 ,8.6 ,0.0 ,0.0 ,0.5
pop,0.0 ,0.1 ,0.5 ,0.2 ,1.1 ,0.3 ,0.0 ,7.2 ,0.4 ,0.2
reg,0.5 ,0.0 ,0.2 ,0.6 ,1.0 ,0.1 ,0.2 ,0.2 ,7.1 ,0.1
rock,0.7 ,0.6 ,1.5 ,0.8 ,0.1 ,0.4 ,0.7 ,0.1 ,0.4 ,4.7